,date,sent_mean,sent_median,headline_count
478,2009-09-30,-0.23726400000000003,-0.25,25
479,2009-10-01,-0.193332,-0.2755,25
480,2009-10-02,-0.294204,-0.296,25
481,2009-10-03,-0.08970399999999999,0.0,25
482,2009-10-04,-0.10391600000000001,0.0,25
483,2009-10-05,-0.227016,-0.25,25
484,2009-10-06,-0.245012,-0.3182,25
485,2009-10-07,-0.427904,-0.4767,25
486,2009-10-08,-0.11154,-0.124,25
487,2009-10-09,-0.11784800000000001,0.0,25
488,2009-10-10,-0.11793333333333333,0.0,24
489,2009-10-11,-0.276656,-0.2263,25
490,2009-10-12,-0.206428,0.0,25
491,2009-10-13,-0.18267599999999998,-0.3182,25
492,2009-10-14,-0.296268,-0.3612,25
493,2009-10-15,-0.09097599999999999,0.0,25
494,2009-10-16,-0.191616,-0.2023,25
495,2009-10-17,-0.284532,-0.4404,25
496,2009-10-18,-0.246516,-0.1002,25
497,2009-10-19,-0.215396,-0.128,25
498,2009-10-20,0.03369200000000001,0.0258,25
499,2009-10-21,-0.124608,-0.1695,25
500,2009-10-22,-0.189452,-0.34,25
501,2009-10-23,-0.07020400000000002,0.0,25
502,2009-10-24,-0.144356,-0.0258,25
503,2009-10-25,-0.260622,-0.3601,50
504,2009-10-26,-0.379872,-0.5789,25
505,2009-10-27,-0.33138,-0.4404,25
506,2009-10-28,-0.321716,-0.4588,25
507,2009-10-29,-0.18698,-0.2263,25
508,2009-10-30,-0.201724,-0.2732,25
509,2009-10-31,-0.14911200000000002,0.0,25
510,2009-11-01,-0.191156,-0.0572,25
511,2009-11-02,-0.05321999999999999,0.0,25
512,2009-11-03,-0.17011600000000002,-0.0516,25
513,2009-11-04,-0.19445199999999999,0.0,25
514,2009-11-05,-0.266256,-0.2023,25
515,2009-11-06,-0.20506799999999997,-0.2263,25
516,2009-11-07,-0.34162800000000004,-0.4767,25
517,2009-11-08,-0.114328,0.0,25
518,2009-11-09,-0.06792000000000002,0.0,25
519,2009-11-10,-0.186936,0.0,25
520,2009-11-11,-0.07235199999999999,0.0,25
521,2009-11-12,-0.250424,-0.1759,25
522,2009-11-13,-0.20089200000000002,-0.2263,25
523,2009-11-14,-0.188596,-0.2732,25
524,2009-11-15,-0.05212000000000001,0.0,25
525,2009-11-16,-0.35282800000000003,-0.4804,25
526,2009-11-17,-0.102768,0.0,25
527,2009-11-18,-0.241016,0.0,25
528,2009-11-19,-0.144012,0.0,25
529,2009-11-20,-0.303844,-0.25,25
530,2009-11-21,-0.33206800000000003,-0.4019,25
531,2009-11-22,-0.260612,-0.3818,25
532,2009-11-23,-0.42267200000000005,-0.4097,25
533,2009-11-24,-0.3372,-0.4767,25
534,2009-11-25,-0.174308,0.0,25
535,2009-11-26,-0.11428799999999999,-0.25,25
536,2009-11-27,-0.16576800000000003,0.0,25
537,2009-11-28,-0.35694000000000004,-0.296,25
538,2009-11-29,-0.35300400000000004,-0.3612,25
539,2009-11-30,-0.27234400000000003,-0.2584,25
540,2009-12-01,-0.22202,-0.4215,25
541,2009-12-02,-0.479924,-0.5859,25
542,2009-12-03,-0.24400000000000002,-0.3182,25
543,2009-12-04,-0.256996,-0.2023,25
544,2009-12-05,-0.159748,-0.1027,25
545,2009-12-06,-0.239464,-0.0772,25
546,2009-12-07,-0.200056,-0.1027,25
547,2009-12-08,-0.156396,0.0,25
548,2009-12-09,-0.100132,0.0,25
549,2009-12-10,-0.29424,-0.4019,25
550,2009-12-11,-0.24180799999999997,-0.296,25
551,2009-12-12,-0.251084,-0.128,25
552,2009-12-13,-0.384444,-0.4574,25
553,2009-12-14,-0.36852399999999996,-0.3818,25
554,2009-12-15,-0.41649200000000003,-0.6369,25
555,2009-12-16,-0.279592,-0.34,25
556,2009-12-17,-0.292668,-0.25,25
557,2009-12-18,-0.275656,-0.34,25
558,2009-12-19,-0.12248,-0.0516,25
559,2009-12-20,-0.169916,-0.2732,25
560,2009-12-21,-0.20206,-0.1027,25
561,2009-12-22,-0.275268,-0.3612,25
562,2009-12-23,-0.210572,-0.2617,25
563,2009-12-24,-0.22596521739130432,-0.1779,23
564,2009-12-25,-0.19149999999999998,0.0,25
565,2009-12-26,-0.291132,-0.3102,25
566,2009-12-27,-0.302412,-0.4767,25
567,2009-12-28,0.039308,0.0,25
568,2009-12-29,-0.130672,0.0,25
569,2009-12-30,-0.34476,-0.4588,25
570,2009-12-31,-0.33006,-0.4215,25
571,2010-01-01,-0.22002400000000003,-0.2263,25
572,2010-01-02,-0.104968,-0.0056,25
573,2010-01-03,-0.079704,0.0,25
574,2010-01-04,-0.157436,-0.0191,25
575,2010-01-05,-0.301172,-0.2732,25
576,2010-01-06,-0.386552,-0.5983,25
577,2010-01-07,-0.07881600000000001,-0.1184,25
578,2010-01-08,-0.38187200000000004,-0.4019,25
579,2010-01-09,-0.314048,-0.4404,25
580,2010-01-10,-0.246968,-0.3612,25
581,2010-01-11,-0.305844,-0.296,25
582,2010-01-12,-0.25496800000000003,-0.296,25
583,2010-01-13,-0.23842,-0.4588,25
584,2010-01-14,-0.219164,-0.1027,25
585,2010-01-15,-0.174956,-0.3182,25
586,2010-01-16,-0.16111999999999999,0.0,25
587,2010-01-17,-0.15653199999999998,0.0,25
588,2010-01-18,-0.160176,-0.0516,25
589,2010-01-19,-0.277316,-0.25,25
590,2010-01-20,-0.08338,0.0,25
591,2010-01-21,-0.30964,-0.3182,25
592,2010-01-22,-0.18498799999999999,-0.25,25
593,2010-01-23,-0.303584,-0.3612,25
594,2010-01-24,-0.221256,0.0,25
595,2010-01-25,-0.234708,-0.128,25
596,2010-01-26,-0.39976799999999996,-0.5267,25
597,2010-01-27,-0.08699200000000001,0.0,25
598,2010-01-28,-0.28982800000000003,-0.3182,25
599,2010-01-29,-0.3158,-0.4215,25
600,2010-01-30,-0.217808,-0.25,25
601,2010-01-31,-0.16993200000000003,-0.34,25
602,2010-02-01,-0.22986,-0.1027,25
603,2010-02-02,-0.134408,0.0,25
604,2010-02-03,-0.052912,0.0,25
605,2010-02-04,-0.244556,0.0,25
606,2010-02-05,0.017136,0.0,25
607,2010-02-06,-0.261096,-0.4215,25
608,2010-02-07,-0.253368,-0.1531,25
609,2010-02-08,-0.177944,0.0,25
610,2010-02-09,-0.28854,-0.4404,25
611,2010-02-10,-0.194144,-0.25,25
612,2010-02-11,-0.19513999999999998,-0.0516,25
613,2010-02-12,-0.25872,-0.3642,25
614,2010-02-13,-0.30885999999999997,-0.4215,25
615,2010-02-14,-0.261,-0.1531,25
616,2010-02-15,-0.319044,-0.296,25
617,2010-02-16,-0.43007599999999996,-0.3612,25
618,2010-02-17,-0.351212,-0.4019,25
619,2010-02-18,-0.240404,-0.296,25
620,2010-02-19,-0.369472,-0.4767,25
621,2010-02-20,-0.131044,-0.0258,25
622,2010-02-21,-0.24824,-0.128,25
623,2010-02-22,-0.306156,-0.3612,25
624,2010-02-23,-0.30687200000000003,-0.3818,25
625,2010-02-24,-0.22862400000000002,-0.3612,25
626,2010-02-25,-0.14456,0.0,25
627,2010-02-26,-0.12234,0.0,25
628,2010-02-27,-0.19488,-0.3612,25
629,2010-02-28,-0.16177599999999998,-0.3597,25
