date,vader_mean,finbert_mean
2009-02-21,-0.18916800000000003,-0.6147949
2009-02-22,-0.16381199999999999,-0.619935
2009-02-23,-0.24120799999999998,-0.63182616
2009-02-24,-0.14074799999999998,-0.54074705
2009-02-25,-0.310536,-0.5676563
2009-02-26,-0.119032,-0.71331054
2009-02-27,-0.214164,-0.7421973
2009-02-28,-0.34316800000000003,-0.6154785
2009-03-01,-0.273532,-0.55556643
2009-03-02,-0.179276,-0.63751113
2009-03-03,-0.243072,-0.45575806
2009-03-04,-0.361224,-0.63480467
2009-03-05,-0.253772,-0.4917871
2009-03-06,-0.292644,-0.37984958
2009-03-07,-0.21628,-0.45226583
2009-03-08,-0.35504800000000003,-0.57602537
2009-03-09,-0.11903999999999999,-0.5820825
2009-03-10,-0.173352,-0.7338281
2009-03-11,-0.43030799999999997,-0.5415484
2009-03-12,-0.183644,-0.6759375
2009-03-13,-0.224672,-0.56619173
2009-03-14,-0.243696,-0.46603516
2009-03-15,-0.08014000000000002,-0.7148828
2009-03-16,-0.166032,-0.5781543
2009-03-17,-0.379236,-0.3580864
2009-03-18,-0.35702799999999996,-0.5447168
2009-03-19,-0.32321600000000006,-0.6369297
2009-03-20,-0.33466,-0.6413672
2009-03-21,-0.30913599999999997,-0.634046
2009-03-22,-0.29202,-0.8274219
2009-03-23,-0.23788,-0.3021461
2009-03-24,-0.37629999999999997,-0.39114487
2009-03-25,-0.299752,-0.44748047
2009-03-26,-0.349176,-0.5931392
2009-03-27,-0.231544,-0.63777345
2009-03-28,-0.271728,-0.51660705
2009-03-30,-0.241804,-0.4350293
2009-03-31,-0.213844,-0.66111326
2009-04-01,-0.121324,-0.6497885
2009-04-02,-0.28562,-0.63454103
2009-04-03,-0.178052,-0.54434085
2009-04-04,-0.31485199999999997,-0.73249876
2009-04-05,-0.251516,-0.7369678
2009-04-06,-0.247656,-0.4001474
2009-04-07,-0.299516,-0.749834
2009-04-08,-0.13522800000000001,-0.60010743
2009-04-09,-0.31952400000000003,-0.5985449
2009-04-10,-0.199928,-0.5900781
2009-04-11,-0.34288,-0.55922854
2009-04-12,-0.204524,-0.59743655
2009-04-13,-0.258636,-0.701377
2009-04-14,-0.23837599999999998,-0.37504882
2009-04-15,-0.250024,-0.6427832
2009-04-16,-0.34784800000000005,-0.8915831
2009-04-17,-0.284552,-0.7341602
2009-04-18,-0.111828,-0.5257617
2009-04-19,-0.09710800000000001,-0.8979004
