Sample,t+1_Actual_scaled,t+1_LSTM_scaled,t+1_ARIMA_scaled,t+1_ENS_scaled,t+1_Actual_$,t+1_LSTM_$,t+1_ARIMA_$,t+1_ENS_$
140,0.9334993826390289,0.98845387,0.9382380485971346,0.9533028114147685,94.25189971923828,97.18541,94.50485309346313,95.30902089518361
141,0.9427950280109937,0.9877528,0.9345818304852481,0.950533143747358,94.74810791015624,97.14799,94.30968155858807,95.16117405640095
142,0.9466535519444331,0.98727274,0.941390652082707,0.9551552842414794,94.9540786743164,97.12236,94.67314131979495,95.40790721811061
143,0.9178894901708899,0.98702484,0.9475820338944575,0.9594148947153475,93.41863250732422,97.10913,95.00364170413154,95.63528826834171
144,0.8998244462367132,0.98694885,0.9185720802941176,0.939085128418483,92.45430755615234,97.10507,93.45506965575576,94.55007081949452
145,0.8835132248453094,0.9869405,0.8997123100685814,0.9258807858655271,91.58360290527344,97.10462,92.44832164738554,93.84521358061748
146,0.8878978526643279,0.98690146,0.8831760384504265,0.9142936834201203,91.81765747070312,97.10254,91.56560365462306,93.22668577406445
147,0.8752697872445029,0.98674667,0.8890443508880698,0.9183550701081905,91.14356231689452,97.09428,91.87885836496372,93.44348549699532
148,0.8691310510343632,0.9864118,0.8749521794049736,0.9083900864412543,90.8158721923828,97.0764,91.12660818351617,92.91154754970547
149,0.8831623459974153,0.9858129,0.8696223836170563,0.9044795511880368,91.56487274169922,97.04443,90.84209987666307,92.70280038413779
150,0.8554506349192054,0.9849177,0.881779855323623,0.912721232655598,90.08560180664062,96.99665,91.49107440185803,93.14274722886948
151,0.8614140031674852,0.9836928,0.8565435794383821,0.8946883769008891,90.4039306640625,96.93127,90.14394396589188,92.18014050571334
152,0.8668509816818372,0.9821226,0.8616863556758912,0.8978172349571631,90.69416046142578,96.84744,90.41846903553434,92.3471611840651
153,0.894211956836327,0.98021954,0.8649604321037864,0.8995381653667086,92.15470886230467,96.74586,90.59324157430962,92.43902567878771
154,0.9205204383713105,0.97806704,0.8958071150856458,0.9204851165348361,93.55907440185548,96.63095,92.23985954926069,93.55718889698998
155,0.9291146118958359,0.97579324,0.9188292041713243,0.935918433537679,94.01783752441406,96.509575,93.4687951120146,94.38103038441811
156,0.9219236679145374,0.97355676,0.9295924337903202,0.942781754587062,93.63397979736328,96.39019,94.04334399850548,94.74739936530402
157,0.9338501185627482,0.9714906,0.9214794416550866,0.9364828015890567,94.27062225341795,96.2799,93.61026668227123,94.4111567541945
158,0.9587556564028527,0.96972376,0.9334954364145919,0.944363933814723,95.60009765625,96.185585,94.25168906695859,94.8318572228115
159,0.9448997294016604,0.96833664,0.9586254108968909,0.9615387861248329,94.86045837402344,96.11154,95.59314505809222,95.74866310912311
160,0.9447243614398008,0.96740854,0.9460711610259006,0.9524723979193939,94.8510971069336,96.062,94.92299023101546,95.26469282953941
161,0.9617371976028183,0.96697056,0.9446195806798562,0.9513248932377554,95.7592544555664,96.03861,94.84550383511065,95.20343820983726
162,0.9594572711744663,0.9670329,0.9601860182756149,0.9622400856109236,95.6375503540039,96.04194,95.67645139489218,95.78609897671056
