date_seen_utc,headline,source,url
20250817T224500Z,"CBA ASX : Head of Commonwealth Bank business Mike Vacy - Lyle attacks NAB , Westpac for  unsustainable  rates",,https://www.afr.com/companies/financial-services/cba-business-bank-boss-attacks-nab-westpac-for-unsustainable-rates-20250815-p5mn83
20250827T111500Z,"Commercial property : Income up , interest rates down . Tailwinds are blowing for property",,https://www.afr.com/property/commercial/income-up-rates-down-tailwinds-blow-for-property-20250827-p5mq91
20250903T083000Z,"CBA FOMO investment in fintech Klarna has worked out , six years on . Just not how you think",,https://www.afr.com/chanticleer/cba-s-afterpay-fomo-paid-off-with-klarna-just-not-how-you-think-20250903-p5ms6p
20250728T113000Z,CBA cuts dozens of call centre jobs citing AI,,https://www.afr.com/companies/financial-services/cba-cuts-dozens-of-call-centre-jobs-citing-ai-20250728-p5migk
20250731T234500Z,"CBA , Atlassian show Australia phony war on AI just ended . This could get messy , fast",,https://www.afr.com/technology/australia-s-phony-war-on-ai-just-ended-this-could-get-messy-fast-20250731-p5mj9f
20250811T083000Z,PXA ASX : Strategic review prompts potential divestment of smaller businesses,,https://www.afr.com/technology/pexa-considers-selling-digital-investments-after-70m-write-down-20250811-p5mlwo
20250813T010000Z,Commonwealth Bank ( CBA ASX ) enters partnership with Sam Altman OpenAI to work on AI - driven services,,https://www.afr.com/technology/cba-gpt-openai-inks-commonwealth-bank-deal-20250813-p5mmiw
20250828T004500Z,ChatGPT in Australia : ChatGPT maker OpenAI to open Sydney office,,https://www.afr.com/technology/chatgpt-maker-openai-chooses-sydney-for-first-australian-office-20250827-p5mqef
20251006T090000Z,"Commonwealth Bank , AustralianSuper , PayPal , HCF and NRMA Insurance are Australia most trusted finance and insurance brands",,https://www.roymorgan.com/findings/10038-trusted-brand-awards-2025-finance-and-insurance-companies
20250901T201500Z,Big four business banking rivalry : Westpac Paul Fowler and NAB Andrew Auerbach hit back at CBA Mike Vacy - Lyle,,https://www.afr.com/companies/financial-services/westpac-hits-back-at-cba-in-business-lending-rivalry-20250829-p5mqvd
20251002T060000Z,Commonwealth Bank  held to account  on offshoring jobs to India claim following redundancies announcement,,https://www.skynews.com.au/business/finance/commonwealth-bank-held-to-account-on-offshoring-jobs-to-india-claim-following-redundancies-announcement/news-story/a900e2d056b765aa39498f1d8928d093?nk=f589cf6bfb5d97841a166298bad56fcf-1759383990
20251002T030000Z,Commonwealth Bank  held to account  on offshoring jobs to India claim following redundancies announcement,,https://www.skynews.com.au/business/finance/commonwealth-bank-held-to-account-on-offshoring-jobs-to-india-claim-following-redundancies-announcement/news-story/a900e2d056b765aa39498f1d8928d093?nk=c8bb1848d8e4d85479de398adfc35d91-1759373228
20251001T233000Z,Fair Work wants greater transparency from CBA about sending jobs offshore,,https://www.afr.com/companies/financial-services/fair-work-tells-cba-to-improve-transparency-on-sending-jobs-offshore-20251001-p5mzbd
20250720T144500Z,"Teenage mum - of - two accused of recruiting underage girls for twisted bank boss reveals the astonishing sum she made in just 48 hours - as fresh details emerge about  money row  at hotel room , before he later killed himself",,https://www.dailymail.co.uk/news/article-14913749/Teenage-mum-two-accused-recruiting-underage-girls-twisted-bank-boss-reveals-astonishing-sum-just-48-hours-fresh-details-emerge-money-row-hotel-room-later-killed-himself.html
20250729T014500Z,"ANZ , Bendigo Bank , Westpac and the Commonwealth Bank are among the country biggest financial institutions in customer refund spree",,https://www.dailymail.co.uk/news/article-14949213/ANZ-Bendigo-Bank-Westpac-Commonwealth-Bank-countrys-biggest-financial-institutions-paying-big-refunds-customers.html
20250731T041500Z,"NITV News : 31 July , 2025",,https://www.sbs.com.au/language/nitv-radio/en/podcast-episode/nitv-news-31-july-2025/p8rwgk8mw
20250815T041500Z,Commonwealth Bank CEO Matt Comyn opposes Productivity Commission cash - flow tax plan,,https://www.afr.com/policy/tax-and-super/don-t-punish-big-business-for-being-more-productive-says-cba-s-comyn-20250815-p5mn8g
20250904T184500Z,"Australian Woman Fired From Bank After 25 Years , Replaced By AI Chatbot She Trained",,https://www.news18.com/world/australian-woman-fired-from-bank-after-25-years-replaced-by-ai-chatbot-she-trained-ws-kl-9550241.html
20250815T011500Z,"ASX stock picks : Life360 has been a  dividing line  on performance in small caps , according to fundies",,https://www.afr.com/markets/equity-markets/fundies-ponder-whether-there-s-a-cba-for-small-cap-investors-20250812-p5mmau
20250924T220000Z,Commonwealth Bank : $168m funding for apt . Residential Sydney build - to - rent project,,https://www.afr.com/property/commercial/commonwealth-bank-lends-168m-to-a-sydney-build-to-rent-developer-20250923-p5mxe7
20251002T070000Z,CBA outage : RBA warns of increasing risk of service disruptions due to complex digital networks,,https://www.afr.com/companies/financial-services/cba-s-3-hour-service-outage-comes-amid-rba-warning-on-reliability-20251002-p5mzlm
20250730T114500Z,Rest Super pumps $230b into ex - Macquarie banker Tim Bishop VC firm Wollemi Capital,,https://www.afr.com/companies/financial-services/rest-super-pumps-230m-into-ex-macquarie-banker-s-climate-capital-firm-20250730-p5miwt
20250723T053000Z,Revolution launches roadshow for $300m private credit LIC,,https://www.afr.com/street-talk/revolution-am-sets-sights-on-8bn-debt-lic-universe-launches-roadshow-20250723-p5mh4b
20250815T083000Z,RBA credit card fee changes : Commonwealth Bank warns frequent flyer points at risk,,https://www.afr.com/companies/financial-services/cba-boss-warns-rba-plan-could-crimp-frequent-flyer-points-20250814-p5mmyv
20251015T024500Z,Commonwealth Bank ( CBA ASX ) CEO Matt Comyn locks in three more years in top job . Here his next big challenge,,https://www.afr.com/chanticleer/comyn-locks-in-3-more-years-at-cba-here-s-his-next-big-challenge-20251015-p5n2q9
20251002T060000Z,Commonwealth Bank hit by major outage to online services,,https://www.skynews.com.au/breaking-news/commonwealth-bank-hit-by-major-outage/news-story/d277540a87b81f337a4e0cf98c074739?nk=f40b6a99eca19f17576dca25687ab0a4-1759383997
20250917T131500Z,How Chatbots Are Driving AI Disruption In Global Banking,,https://www.channelstv.com/2025/09/17/how-chatbots-are-driving-ai-disruption-in-global-banking/
20251015T071500Z,Kathryn lost her banking job to a chatbot . She just confronted her CBA bosses,,https://www.sbs.com.au/news/article/kathryn-lost-her-banking-job-to-a-chatbot-she-just-confronted-her-cba-bosses/cgx8kmymj
20251002T064500Z,Commonwealth Bank services restored after major outage at bank | The Advocate,,https://www.theadvocate.com.au/story/9079898/commonwealth-bank-services-restored-after-major-outage-at-bank/
20250827T191500Z,What next for CBA shares ? ,,https://www.fool.com.au/2025/08/28/whats-next-for-cba-shares/
20251010T043000Z,"Banks , miners out : Baby Boomers divesting high - performing holdings to align with values",,https://www.afr.com/wealth/personal-finance/why-i-dumped-my-mum-s-shares-in-cba-after-30-years-20250917-p5mvu9
20250928T064500Z,"Starting a business in Australia : Redundancy can be an opportunity to becoming self - employed , say career coaches",,https://www.afr.com/work-and-careers/careers/i-lost-my-big-corporate-job-what-i-m-doing-now-is-better-20250922-p5mx03
20250929T050000Z,The Man Shake weight - loss range : Cranky Health lenders appoint adviser amid debt concerns,,https://www.afr.com/street-talk/pep-s-man-shake-lenders-get-on-the-shred-appointing-advisers-20250929-p5mypx
20250831T030000Z,VanEck Arian Neiron : Why more investors are opting for managed accounts,,https://www.afr.com/markets/equity-markets/more-investors-opt-for-managed-accounts-over-super-s-default-20250828-p5mql0
20250813T020000Z,"ASB profit is flat - lining , at the same time it surging for its Australian parent company - 13 - Aug - 2025",,"https://home.nzcity.co.nz/news/article.aspx?id=428107&fm=psp,tst"
20250813T020000Z,"ASB profit is flat - lining , at the same time it surging for its Australian parent company - 13 - Aug - 2025",,"https://home.nzcity.co.nz/news/article.aspx?id=428107&fm=psp,tsf"
20250725T033000Z,"CBA ANZ WBC NAB ASX : Big bank stocks have hellish week , Commonwealth Bank slide nears 10pc",,https://www.afr.com/markets/equity-markets/big-bank-stocks-have-a-week-from-hell-as-cba-slide-nears-10pc-20250723-p5mh3s
20250813T110000Z,Rival PKF claims KordaMentha in  Chinese wall failure to help client,,https://www.afr.com/companies/financial-services/rival-claims-kordamentha-breached-chinese-walls-to-benefit-client-20250813-p5mmlj
20251015T054500Z,Sacked Commonwealth Bank worker confronts Big Four CEO after she was replaced by AI,,https://www.dailymail.co.uk/news/article-15193277/Commonwealth-Bank-AI-sacked-worker-confronts-CEO.html
20250811T030000Z,The ugly reality facing millions of Australians - and why it not going to get better,,https://www.dailymail.co.uk/news/article-14978331/middle-class-cost-crisis-political-donations-Australia.html
20250920T011500Z,Millions of CBA customers unable to access online banking after planned maintenance was delayed,,https://www.dailymail.co.uk/news/article-15116537/CBA-aussies-planned-maintenance-online-banking.html
20250816T001500Z,Here the earnings forecast out to 2030 for CBA shares,,https://www.fool.com.au/2025/08/16/heres-the-earnings-forecast-out-to-2030-for-cba-shares/
20250921T060000Z,Colonial First State rules off Goldman - run strategic review,,https://www.afr.com/street-talk/colonial-first-state-rules-off-goldman-run-strategic-review-20250921-p5mwq7
20250810T104500Z,Business banking gains have Commonwealth Bank ( CBA ASX ) investors awaiting a bumper dividend,,https://www.afr.com/companies/financial-services/business-banking-gains-to-propel-cba-to-giant-profit-20250806-p5mkt4
20251014T043000Z,ANZ Nuno Matos plan : Analysts doubt bank ambitious targets despite share jump,,https://www.afr.com/companies/financial-services/matos-big-anz-strategy-faces-market-sceptics-who-say-it-is-impossible-20251014-p5n2a4
20250812T061500Z,How banks are responding to the Reserve Bank decision to cut interest rates,,https://www.abc.net.au/news/2025-08-12/banks-react-to-august-rba-rate-cut-decision/105506412
20250919T044500Z,Port Macquarie woman Kristine Begg pleads for help after fire | The Canberra Times,,https://www.canberratimes.com.au/story/9069449/port-macquarie-woman-kristine-begg-pleads-for-help-after-fire/
20250813T040000Z,Commonwealth Bank ( CBA ASX ) CEO Matt Comyn says  inflection point  driving the big choices inside bank,,https://www.afr.com/chanticleer/comyn-sets-cba-up-for-next-decade-as-his-rivals-play-catch-up-20250813-p5mmje
20250801T070000Z,Commonwealth Bank | SmartCompany,,https://www.smartcompany.com.au/partner/commonwealth-bank/
20250731T030000Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Mandurah Mail",,https://www.mandurahmail.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T024500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Blue Mountains Gazette",,https://www.bluemountainsgazette.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250821T020000Z,Where next for the CBA share price ? ,,https://www.fool.com.au/2025/08/21/where-next-for-the-cba-share-price/
20250804T054500Z,WA housing crisis : 3D printing one way to tackle slow build times,,https://www.watoday.com.au/property/news/robot-arms-and-modular-builds-wa-s-bid-for-faster-housing-20250801-p5mjni.html
20250731T044500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | The Inverell Times",,https://www.inverelltimes.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T053000Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Bay Post - Moruya Examiner",,https://www.batemansbaypost.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T053000Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Namoi Valley Independent",,https://www.nvi.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T021500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Southern Highland News",,https://www.southernhighlandnews.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T021500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | The Macleay Argus",,https://www.macleayargus.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T054500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | The Queanbeyan Age",,https://www.queanbeyanage.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T014500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | St George & Sutherland Shire Leader",,https://www.theleader.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T044500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Port Macquarie News",,https://www.portnews.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
20250731T044500Z,"Commonwealth Bank cuts jobs , adopts AI for customer service | Blayney Chronicle",,https://www.blayneychronicle.com.au/story/9029592/commonwealth-bank-cuts-jobs-adopts-ai-for-customer-service/
